item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
523,521,Market (n),[égò-opà],/ òkpó/,
524,522,"Article or clothing, clothes",[òkpó-váná],/úbósórọ/,
525,523,Wear clothes,[jéméné- gò],/ βésárívọnọ/,
526,524,Dress (v),[èwóí],/ìsòb égò/,
527,525,Undress,[òkpó],/èwùrà rómò/,
528,526,(be) naked,[úbósórọ],/égó-ágwa /,
529,527,Hat,[βésárívọnọ],/éwúrú-abáh/,
530,528,Shirt,[ìsòb égò],/íkpọd /,
531,529,Trousers,[èwùrà rómò],/émúráká/,
532,530,Loincloth,[égó-ágwa ],/ráká /,
533,531,Robe (man‟s gown),[éwúrú-abáh],/ ráká rówùrọ/,
534,532,Cloth worn by a woman,[íkpọd ],/ reka rówùrọ/,
535,533,Baby sling,[émú-ráká],/ókpó-úwà/,
536,534,"Shoe, sandal",[ráká / ìrògbò],/ékpékpé/,
537,535,Bead,[ráká rówùrọ],/íkpá-ító/,
538,536,"String, thread (beads) (v)",[reka rówùrọ],/ótó-óvórà/,
539,537,Bracelet,[ókpó-úwà],/óhárá- mà/,
540,538,Necklace,[ékpékpé],/ìsì òká/,
541,539,"Ankle ring, bangle",[íkpá-ító],/ote-iya /,
542,540,Ring (finger),[ótó-óvórà],/étúm/,
543,541,Earring,[óhárá- mà],/ísò-òyá or ísòyá/,
544,542,Pierce,[ìsì òká],/víjá ánàì/,
545,543,"Labret, lip plug, lip stick",[ote-iya/òtìyà],/fone-βhíyon/,
546,544,"Plait, braid",[étúm],/cúm-íshìn/,
547,545,"(facial) Incision, tattoo",[ísò-òyá or ísòyá],/kpá-rébém/,
548,546,"Cane, walking stick",[víjá ánàì],/óhóβá/,
549,547,"Bathe, wash oneself",[fone-βhíyon],/épém/,
550,548,Apply (ointment),[cúm-íshìn],/bhóvónóshí/,
551,549,Wipe off (excreta),[kpá-rébém],/èʒènọ/,
552,550,Cut (hair),[óhóβá],/ítórè/,
553,551,Shave (v),[épém],/βànàì/,
554,552,Razor,[bóvónóshí],/ígwà/,
555,553,Comb,[èʒènọ],/àkàmù/,
556,554,Food,[ítórè],/ótúú/,
557,555,Meat,[βànàì],/búnó/,
558,556,Fat,[ígwà],/bóvénóshí-ávúmọ/,
559,557,Oil,[àkàmù],/bóvénóshí-óréyò/,
560,558,"Soup, broth",[ótúú],/éβónọ/,
561,559,"Pap, mushy food",[búnó],/ íyáré/,
562,560,Bread,[bóvénóshí-ávúmọ],/óvénóshí-òpémà/,
563,561,Salt,[bóvénóshí-óréyò],/hóbọ/,
564,562,Breakfast,[éβónọ],/bhátó hárárá/,
565,563,Evening meal,[íyáré],/bhátó háúnáná/,
566,564,Feast,[óvénóshí-òpémà],/bhódé/,
567,565,Leftovers,[hóbọ],/n mòvònòshì/,
568,566,Spoil (food),[bhátó hárárá],/hùmá/,
569,567,Mould milk,[bhátó háúnáná],/hùmá/,
570,568,Alcohol (general),[bódé],/kùmákúm/,
571,569,Beer (traditional),[n mòvònòshì],/gùnágún/,
572,570,Palm wine,[hùmá],/kpákùkùwà/,
573,571,Prepare (food to cook),[hùmá],/kóβárá/,
574,572,Cut,[kùmákúm],/jém/,
575,573,Cut open,[gùnágún],/kpé/,
576,574,Slice,[kpákùkùwà],/kàá/,
577,575,Peel,[kóβárá],/nú/,
578,576,Mix,[jém],/rón/,
579,577,Stir,[kpé],/vób/,
580,578,stain,[kàá],/zúb/,
581,579,pound,[nú],/vób bí-ítòtóì/,
582,580,grind,[rón],/gùú/,
583,581,Pluck (feathers),[vób],/ràí/,
584,582,Cook,[zúb],/ìkpá-kpóm/,
585,583,Roast,[vób bí-ítòtóì],/rètán ávén òkà/,
586,584,Fry,[gùú],/rètán ávén òkà/,
587,585,Bake (in ashes),[ràí],/rètán ávén òkà/,
588,586,(be) smoked,[ìkpá-kpóm/ìkpákpóm],/rotoi/,
589,587,Boil (water),[rètán ávén òkà],/ékpérékpé/,
590,588,Cooking pot,[rètán ávén òkà],/nkéné/,
591,589,Grinding stone,[rètán ávén òkà],/rébó/,
592,590,Upper grinding stone,[rotoi],/ófá/,
593,591,Lower grinding stone,[ékpérékpé],/égbúrígbáng/,
594,592,"Pestle, pounding stick",[nkéné],/uʃi /,
595,593,"Mortar, pounding pot",[rébó],/bíhúrọ/,
596,594,Plate,[ófá],/úpáí/,
597,595,Bowl,[égbúrígbáng],/kóróbá/,
598,596,Cup,[uʃi / íkpá ọbọ],/úúpá/,
599,597,Spoon (traditional),[bíhúrọ],/ékúmá/,
600,598,Bag,[úpáí],/kpáì bì-hon/,
601,599,Box,[kóróbá],/úmọ/,
602,600,Basket,[úúpá],/máná/,
603,601,"Bucket, pail",[ékúmá],/mina mìnáì/,
604,602,Calabash,[kpáì bì-hon],/zùβá/,
605,603,Bottle,[úmọ],/fí/,
606,604,"Stopper, plug",[máná],/íyúwá/,
607,605,Handle,[mina mìnáì],/évòí/,
608,606,Pour,[zùβá],/wóné/,
609,607,Spill (liquid),[fí],/woone/,
610,608,Take out (from container),[íyúwá],/gwá/,
611,609,Fill,[évòí],/bare/,
612,610,(be) full,[wóné],/gwá-mmó/,
613,611,(be empty),[wòòné],/wòòné/,
614,612,(be) empty,[gwá],/énóng-ósé/,
615,613,Open,[bàrè],/régbá/,
616,614,"Close, shut",[gwá-mmó],/vábàn/,
617,615,Stop up,[wòòné],/vábàbá/,
618,616,Cover,[énóng-ósé],/vúró/,
619,617,Uncover,[régbá],/vúnéné/,
620,618,Store (up),[vábàn],/kòóné/,
621,619,Bundle (n),[vábàbá],/kpáí/,
622,620,Heap (n),[vúró],/βób/,
623,621,Heap up,[vúnéné],/rèká/,
624,622,Wrap up,[kòóné],/βọb/,
